news_headline,news_article,news_category
"Beckham responds to European Super League plan, says 'Game we love is in danger'","After 12 of Europe's leading football clubs including Manchester United and Liverpool announced they agreed to establish a new midweek competition 'European Super League', David Beckham penned a note condemning the proposal. He wrote, ""We need football to be fair and we need competitions based on merit. Unless we protect these values the game we love is in danger.""",sports
"DC end 5-match losing streak vs MI, win 1st match at Chepauk since 2010","Delhi Capitals defeated Mumbai Indians by six wickets on Tuesday to register their second successive win in IPL 2021. With this, Delhi Capitals ended their five-match losing streak against  five-time champions Mumbai Indians. Further, it is the Delhi-based franchise's first victory at the MA Chidambaram Stadium (Chepauk) in Chennai since 2010.",sports
"Shubman's family receives Mahindra Thar gifted by Anand Mahindra, batsman shares pics","Team India batsman Shubman Gill took to social media to share a picture of his family receiving Mahindra Thar gifted to the cricketer by Mahindra Group Chairman Anand Mahindra. ""I wish I was there to collect this beast. @anandmahindra Sir I am grateful and a big thank you to you for this gesture,"" wrote the 21-year-old batsman.",sports
"Situation becoming challenging, request you to follow COVID protocols: Kohli","In a video shared by Delhi Police, Team India captain Virat Kohli has urged people to follow protocols to fight against the second wave of coronavirus in the country. ""Request you to wear masks whenever you leave your home to buy essentials or for important work, please follow social distancing...Please understand your responsibility,"" Kohli said in the video. ",sports
RR get in ICU once Buttler and Samson are dismissed: Aakash Chopra,"Ex-India batsman Aakash Chopra said Rajasthan Royals' batting line-up is overly dependent on Jos Buttler and Sanju Samson after the side crashed to a 45-run loss against CSK on Monday. ""The Rajasthan Royals' heart and heartbeat are Buttler and Samson and the team is in an ICU once they get out...That is the sad reality of this team,"" added Chopra.",sports
Dhawan's current form reminds me of his U-19 days: Laxman ,"Ex-India batsman VVS Laxman has said that DC opener Shikhar Dhawan's current form reminds him of the 35-year-old's under-19 playing days. ""Shikhar has been playing international cricket for more than a decade...but he's a shining example of the truism that the learning process never ends,"" Laxman added. Dhawan is IPL 2021's orange cap holder with 186 runs in three games. ",sports
"MI know Chennai conditions, challenge is for us to prepare: Dhawan","Ahead of their game against MI in Chennai, DC opener Shikhar Dhawan said the challenge for them is to prepare and plan according to the wicket and implement it. He added that MI are already familiar with the conditions as they have played their first three games in Chennai. Both teams have lost one game so far in the tournament. ",sports
Dhoni was spot on in his 200th match as CSK skipper: Gavaskar,"Ex-India cricketer Sunil Gavaskar has said that CSK deserved to win against RR as MS Dhoni was spot on with every decision in his 200th match as CSK captain. ""The bowling changes, the field placements. Look at the way he placed Jadeja, he took 4 catches,"" Gavaskar explained. CSK defended their 188-run total and won by 45 runs against RR.",sports
Amit Mishra (4/24) registers best figures by a DC bowler vs MI in IPL ,"Spinner Amit Mishra on Tuesday registered the best figures by a DC bowler against MI in IPL as he ended MI innings with figures of 4-0-24-4. Mishra dismissed Rohit Sharma, Hardik Pandya and Kieron Pollard in a span of his eight balls to help DC restrict MI for 137/9 in 20 overs. In his last over, Mishra dismissed Ishan Kishan. ",sports
"ABD, Rohit: Kuldeep names the toughest to bowl to in IPL","On being asked to name two batsmen who are toughest to bowl to in IPL, KKR spinner Kuldeep Yadav, who's yet to feature for the franchise this season, picked MI captain Rohit Sharma and RCB wicketkeeper-batsman AB de Villiers. On being further asked to pick two IPL legends, Kuldeep named CSK skipper MS Dhoni and PBKS batsman Chris Gayle. ",sports
